timestamp,event,trade_id,module,strategy,direction,strike,entry,exit,sl,target,pnl,exit_reason,confidence,reason,unreal_pnl
2026-04-27 16:17:17,ENTER,SCAL_161717,SCALPING,SCALP_UP,CE,20600,48.30,,33.81,72.45,,,0.65,"3 up candles, momentum 3.7x avg",0.00
2026-04-27 16:17:17,EXIT,SCAL_161717,SCALPING,SCALP_UP,CE,20600,48.30,301.44,33.81,72.45,18985.50,TARGET_HIT,,,18985.50
2026-04-27 16:17:17,ENTER,AI_E_161717,AI_ENHANCED,AI_BULLISH,CE,20950,36.97,,25.88,55.45,,,0.90,AI score: bullish 0.90 | EMA5>EMA20 | PCR=0.74 bullish | Spot>VWAP,0.00
2026-04-27 16:17:17,EXIT,AI_E_161717,AI_ENHANCED,AI_BULLISH,CE,20950,36.97,480.94,25.88,55.45,33297.75,TARGET_HIT,,,33297.75
2026-04-27 16:17:17,ENTER,DAY__161717,DAY_HIGH_LOW_TRADITIONAL,AI_BULLISH,CE,20850,220.40,,154.28,330.60,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:17,ENTER,TREN_161717,TREND_FOLLOWING,AI_BULLISH,CE,20450,298.95,,209.26,448.42,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:17,EXIT,DAY__161717,DAY_HIGH_LOW_TRADITIONAL,AI_BULLISH,CE,20850,220.40,53.37,154.28,330.60,-12527.25,STOP_LOSS,,,-12527.25
2026-04-27 16:17:17,EXIT,TREN_161717,TREND_FOLLOWING,AI_BULLISH,CE,20450,298.95,103.64,209.26,448.42,-14648.25,STOP_LOSS,,,-14648.25
2026-04-27 16:17:17,ENTER,BREA_161717,BREAKOUT,AI_BEARISH,PE,19200,138.21,,96.75,207.31,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:17,EXIT,BREA_161717,BREAKOUT,AI_BEARISH,PE,19200,138.21,68.30,96.75,207.31,-5243.25,STOP_LOSS,,,-5243.25
2026-04-27 16:17:17,ENTER,VOLA_161717,VOLATILITY_BREAKOUT,AI_BEARISH,PE,19200,68.30,,47.81,102.45,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:17,EXIT,VOLA_161717,VOLATILITY_BREAKOUT,AI_BEARISH,PE,19200,68.30,318.04,47.81,102.45,18730.50,TARGET_HIT,,,18730.50
2026-04-27 16:17:17,ENTER,OPTI_161717,OPTIONS_GREEKS,AI_BULLISH,CE,20850,111.56,,78.09,167.34,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:17,EXIT,OPTI_161717,OPTIONS_GREEKS,AI_BULLISH,CE,20850,111.56,179.57,78.09,167.34,5100.75,TARGET_HIT,,,5100.75
2026-04-27 16:17:17,ENTER,MAGI_161717,MAGIC_SQUARE,AI_BULLISH,CE,20550,265.80,,186.06,398.70,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:17,EXIT,MAGI_161717,MAGIC_SQUARE,AI_BULLISH,CE,20550,265.80,593.17,186.06,398.70,24552.75,TARGET_HIT,,,24552.75
2026-04-27 16:17:17,ENTER,WRIT_161717,WRITER_RESIST_BREAK,AI_BULLISH,CE,20600,294.06,,205.84,441.09,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:17,EXIT,WRIT_161717,WRITER_RESIST_BREAK,AI_BULLISH,CE,20600,294.06,204.72,205.84,441.09,-6700.50,STOP_LOSS,,,-6700.50
