timestamp,type,strategy,pnl,is_win,message,thread_id,data_id
2026-04-03 21:38:14.303764,DATA_FETCH,,,,Data fetched: 23152.71,99848,1
2026-04-03 21:38:14.303764,TRADE,MULTI_TIMEFRAME_LOSING,1171.7817437746135,True,Trade executed: MULTI_TIMEFRAME_LOSING P&L: 1171.78,99848,
2026-04-03 21:38:14.303764,TRADE,AI_ENHANCED_LOSING,1023.8271918869679,True,Trade executed: AI_ENHANCED_LOSING P&L: 1023.83,99848,
2026-04-03 21:38:14.303764,TRADE,RSI_DIVERGENCE_LOSING,1095.174963370159,True,Trade executed: RSI_DIVERGENCE_LOSING P&L: 1095.17,99848,
2026-04-03 21:38:14.303764,TRADE,STOCHASTIC_OVERSOLD_LOSING,910.8080427068489,True,Trade executed: STOCHASTIC_OVERSOLD_LOSING P&L: 910.81,99848,
2026-04-03 21:38:14.303764,TRADE,VOLUME_SPIKE_LOSING,1200.571201813685,True,Trade executed: VOLUME_SPIKE_LOSING P&L: 1200.57,99848,
2026-04-03 21:38:14.303764,TRADE,HIGH_VOLUME_LOSING,1890.0720424143526,True,Trade executed: HIGH_VOLUME_LOSING P&L: 1890.07,99848,
2026-04-03 21:38:14.303764,TRADE,STRONG_MOMENTUM_LOSING,1279.9756472449476,True,Trade executed: STRONG_MOMENTUM_LOSING P&L: 1279.98,99848,
2026-04-03 21:38:14.303764,TRADE,MACD_DIVERGENCE_LOSING,1261.782802486511,True,Trade executed: MACD_DIVERGENCE_LOSING P&L: 1261.78,99848,
2026-04-03 21:38:14.303764,TRADE,WILLIAMS_REVERSAL_LOSING,1436.0258945420412,True,Trade executed: WILLIAMS_REVERSAL_LOSING P&L: 1436.03,99848,
2026-04-03 21:38:14.303764,TRADE,CCI_EXTREME_LOSING,1983.1606145406845,True,Trade executed: CCI_EXTREME_LOSING P&L: 1983.16,99848,
