timestamp,open,high,low,close,volume,vwap
2026-03-27 09:15:07.140822,23111.68,23120.84,23088.88,23112.27,808908,23108.42
2026-03-27 09:16:07.140822,23154.99,23199.39,23118.52,23130.42,1456960,23150.83
2026-03-27 09:17:07.140822,23146.34,23157.59,23143.37,23151.61,951158,23149.73
2026-03-27 09:18:07.140822,23173.62,23190.67,23048.12,23148.84,463113,23140.31
2026-03-27 09:19:07.140822,23157.48,23185.04,23066.67,23160.2,1029249,23142.35
2026-03-27 09:20:07.140822,23201.97,23222.81,23129.74,23193.04,1225783,23186.89
2026-03-27 09:21:07.140822,23192.44,23231.74,23169.08,23191.47,786341,23196.18
2026-03-27 09:22:07.140822,23187.69,23211.04,23133.92,23202.22,973314,23183.72
2026-03-27 09:23:07.140822,23186.18,23254.59,23141.48,23188.3,859200,23192.64
2026-03-27 09:24:07.140822,23205.4,23207.61,23181.86,23191.41,796779,23196.57
2026-03-27 09:25:07.140822,23291.3,23297.33,23194.01,23224.3,965053,23251.73
2026-03-27 09:26:07.140822,23228.89,23237.83,23199.1,23223.71,1168280,23222.38
2026-03-27 09:27:07.140822,23241.35,23245.18,23208.43,23239.69,1272028,23233.66
2026-03-27 09:28:07.140822,23212.27,23264.97,23193.88,23228.31,839136,23224.86
2026-03-27 09:29:07.140822,23265.42,23278.85,23207.14,23254.81,639622,23251.56
2026-03-27 09:30:07.140822,23267.63,23306.49,23257.55,23280.17,925387,23277.96
2026-03-27 09:31:07.140822,23297.29,23337.06,23285.35,23308.38,1212439,23307.02
2026-03-27 09:32:07.140822,23274.48,23356.9,23253.73,23329.48,1447129,23303.65
2026-03-27 09:33:07.140822,23276.15,23323.59,23268.64,23298.62,1627560,23291.75
2026-03-27 09:34:07.140822,23258.36,23286.7,23238.66,23280.1,1227315,23265.95
2026-03-27 09:35:07.140822,23239.74,23294.56,23229.84,23292.91,553615,23264.26
2026-03-27 09:36:07.140822,23199.79,23334.32,23199.41,23287.85,1142548,23255.34
2026-03-27 09:37:07.140822,23302.4,23335.73,23283.95,23304.67,794971,23306.69
2026-03-27 09:38:07.140822,23374.82,23414.77,23324.87,23332.03,1338537,23361.62
2026-03-27 09:39:07.140822,23373.71,23388.03,23310.04,23338.09,1095251,23352.47
2026-03-27 09:40:07.140822,23350.97,23395.34,23315.46,23370.34,1163133,23358.03
2026-03-27 09:41:07.140822,23390.02,23453.79,23366.44,23395.77,642385,23401.5
2026-03-27 09:42:07.140822,23428.05,23449.81,23422.11,23426.7,741725,23431.67
2026-03-27 09:43:07.140822,23449.05,23514.4,23410.12,23444.58,1396562,23454.54
2026-03-27 09:44:07.140822,23482.81,23500.29,23400.73,23444.65,996672,23457.12
2026-03-27 09:45:07.140822,23425.49,23443.86,23418.31,23428.86,648113,23429.13
2026-03-27 09:46:07.140822,23429.74,23442.31,23397.4,23434.89,952461,23426.08
2026-03-27 09:47:07.140822,23449.28,23468.93,23420.36,23449.73,925336,23447.08
2026-03-27 09:48:07.140822,23468.1,23476.92,23400.52,23446.89,824248,23448.11
2026-03-27 09:49:07.140822,23453.85,23463.93,23435.32,23449.98,1332287,23450.77
2026-03-27 09:50:07.140822,23452.05,23496.67,23443.14,23475.12,1188602,23466.75
2026-03-27 09:51:07.140822,23516.28,23555.2,23452.53,23503.27,846656,23506.82
2026-03-27 09:52:07.140822,23519.18,23532.6,23518.63,23521.03,792025,23522.86
2026-03-27 09:53:07.140822,23542.87,23563.7,23508.96,23527.92,1131054,23535.86
2026-03-27 09:54:07.140822,23571.59,23598.96,23536.35,23561.75,548466,23567.16
2026-03-27 09:55:07.140822,23566.57,23651.21,23504.85,23574.01,935496,23574.16
2026-03-27 09:56:07.140822,23488.89,23595.09,23477.83,23574.21,663921,23534.01
2026-03-27 09:57:07.140822,23643.78,23665.14,23597.66,23603.76,810903,23627.59
2026-03-27 09:58:07.140822,23633.34,23686.01,23556.8,23593.6,1046161,23617.44
2026-03-27 09:59:07.140822,23581.02,23597.72,23580.96,23585.8,816557,23586.38
2026-03-27 10:00:07.140822,23570.42,23591.73,23569.91,23590.39,1060293,23580.61
2026-03-27 10:01:07.140822,23540.05,23564.83,23525.06,23553.84,706357,23545.95
2026-03-27 10:02:07.140822,23611.88,23613.81,23553.63,23558.59,730834,23584.48
2026-03-27 10:03:07.140822,23575.91,23594.52,23548.53,23571.63,782127,23572.65
2026-03-27 10:04:07.140822,23578.92,23616.76,23533.34,23568.71,1328554,23574.43
2026-03-27 10:05:07.140822,23626.94,23650.98,23538.75,23574.91,866249,23597.89
2026-03-27 10:06:07.140822,23628.82,23673.91,23579.87,23605.93,1415330,23622.13
