timestamp,event,trade_id,module,strategy,direction,strike,entry,exit,sl,target,pnl,exit_reason,confidence,reason,unreal_pnl
2026-04-27 16:17:18,ENTER,SCAL_161718,SCALPING,SCALP_UP,CE,20550,330.99,,231.69,496.49,,,0.65,"3 up candles, momentum 2.1x avg",0.00
2026-04-27 16:17:18,EXIT,SCAL_161718,SCALPING,SCALP_UP,CE,20550,330.99,108.85,231.69,496.49,-16660.50,STOP_LOSS,,,-16660.50
2026-04-27 16:17:18,ENTER,AI_E_161718,AI_ENHANCED,AI_BULLISH,CE,20550,57.26,,40.08,85.89,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:18,EXIT,AI_E_161718,AI_ENHANCED,AI_BULLISH,CE,20550,57.26,420.42,40.08,85.89,27237.00,TARGET_HIT,,,27237.00
2026-04-27 16:17:18,ENTER,DAY__161718,DAY_HIGH_LOW_TRADITIONAL,AI_BEARISH,PE,19700,211.30,,147.91,316.95,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:18,EXIT,DAY__161718,DAY_HIGH_LOW_TRADITIONAL,AI_BEARISH,PE,19700,211.30,391.82,147.91,316.95,13539.00,TARGET_HIT,,,13539.00
2026-04-27 16:17:18,ENTER,TREN_161718,TREND_FOLLOWING,AI_BEARISH,PE,19300,30.96,,21.67,46.44,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:18,EXIT,TREN_161718,TREND_FOLLOWING,AI_BEARISH,PE,19300,30.96,504.61,21.67,46.44,35523.75,TARGET_HIT,,,35523.75
2026-04-27 16:17:18,ENTER,BREA_161718,BREAKOUT,AI_BEARISH,PE,19600,191.60,,134.12,287.40,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:18,EXIT,BREA_161718,BREAKOUT,AI_BEARISH,PE,19600,191.60,64.32,134.12,287.40,-9546.00,STOP_LOSS,,,-9546.00
2026-04-27 16:17:18,ENTER,VOLA_161718,VOLATILITY_BREAKOUT,AI_BEARISH,PE,19300,29.35,,20.54,44.03,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:18,EXIT,VOLA_161718,VOLATILITY_BREAKOUT,AI_BEARISH,PE,19300,29.35,79.11,20.54,44.03,3732.00,TARGET_HIT,,,3732.00
2026-04-27 16:17:18,ENTER,OPTI_161718,OPTIONS_GREEKS,AI_BEARISH,PE,19300,114.30,,80.01,171.45,,,0.75,AI score: bearish 0.25 | EMA5<EMA20 | Spot<VWAP,0.00
2026-04-27 16:17:18,EXIT,OPTI_161718,OPTIONS_GREEKS,AI_BEARISH,PE,19300,114.30,39.78,80.01,171.45,-5589.00,STOP_LOSS,,,-5589.00
2026-04-27 16:17:18,ENTER,MAGI_161718,MAGIC_SQUARE,AI_BULLISH,CE,20750,184.22,,128.95,276.33,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:18,EXIT,MAGI_161718,MAGIC_SQUARE,AI_BULLISH,CE,20750,184.22,354.47,128.95,276.33,12768.75,TARGET_HIT,,,12768.75
2026-04-27 16:17:18,ENTER,WRIT_161718,WRITER_RESIST_BREAK,AI_BULLISH,CE,20850,315.83,,221.08,473.75,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:18,EXIT,WRIT_161718,WRITER_RESIST_BREAK,AI_BULLISH,CE,20850,315.83,102.23,221.08,473.75,-16020.00,STOP_LOSS,,,-16020.00
2026-04-27 16:17:18,ENTER,ULTI_161718,ULTIMATE_DAY_HIGH_LOW,AI_BULLISH,CE,20500,171.37,,119.96,257.06,,,0.75,AI score: bullish 0.75 | EMA5>EMA20 | Spot>VWAP,0.00
2026-04-27 16:17:18,EXIT,ULTI_161718,ULTIMATE_DAY_HIGH_LOW,AI_BULLISH,CE,20500,171.37,856.15,119.96,257.06,51358.50,TARGET_HIT,,,51358.50
